lab_id,lon,lat,Th,th_anomaly,th_source,rad_K,rad_eTh,rad_eU,rad_eU_eTh,rad_K_eTh,rad_eTh_high,rad_th_agree
D263860,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D263861,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D263862,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D263863,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D263864,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264180,-119.93451321,48.01652983,2.0,False,BACKGROUND,1.057884693145752,3.018314838409424,1.068508505821228,0.35400830033499925,0.350488517527625,False,neither
D264182,-119.51784693,48.8498758,2.0,False,BACKGROUND,1.4458699226379395,4.286505699157715,1.963460922241211,0.45805629574387946,0.33730736038028564,False,neither
D264183,-119.53451471,48.86654278,2.0,False,BACKGROUND,1.3174598217010498,4.0527753829956055,1.6894433498382568,0.4168608398399583,0.3250759534389124,False,neither
D264296,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264297,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264299,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264300,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264302,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264303,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264304,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
D264305,-117.5010714,48.49990705,,False,BACKGROUND,1.1737664937973022,6.04708194732666,1.8464523553848267,0.30534601175714515,0.19410461178158994,False,neither
